"HSMP_INNB","PNU","LNNO_ADRES","POTVALE_IFRA_HSMP_NM","DONG_CNT","NMHSH","USE_APRV_YMD","DRTS_CASCNT","BKAG_CASCNT","DRTS_RATE","BKAG_RATE","PCPP","OLYR_PCPP","SMLYC_PCPP"
"11110100000012","1111011700101450000","서울특별시 종로구 당주동 145","롯데미도파광화문빌딩",1,48,"1981-12-31",0,1,0,1,31071428.571429,29285714.285714,
"11110100000026","1111017100100040000","서울특별시 종로구 명륜2가 4","아남1",3,436,"1995-12-22",0,1,0,1,40384615.384615,44626696.832579,45384615.384615
"11110100000035","1111017400102320000","서울특별시 종로구 창신동 232","두산",3,529,"1999-04-30",0,1,0,1,40769230.769231,41547008.547009,46057692.307692
"11110100000039","1111017400107020000","서울특별시 종로구 창신동 702","창신쌍용1",5,585,"1992-11-25",0,3,0,1,32350490.196078,34572415.329768,29166666.666667
"11110100000077","1111018300105960000","서울특별시 종로구 평창동 596","삼성",2,176,"1998-05-02",0,1,0,1,34230769.230769,35245726.495726,
"11110100000094","1111018700100820000","서울특별시 종로구 무악동 82","현대",12,964,"2000-10-21",0,4,0,1,51719444.444444,47364368.224368,51105555.555556
"11110100050202","1111017400107030000","서울특별시 종로구 창신동 703","창신쌍용2",7,919,"1993-10-12",1,6,0.142857,0.857143,31912114.845938,29070188.663701,29428989.651416
"11110100051191","1111013300100550000","서울특별시 종로구 익선동 55","현대뜨레비앙",1,291,"2003-11-29",1,0,1,0,32142857.142857,29383739.13668,27857142.857143
"11110100248193","1111011800100720000","서울특별시 종로구 내수동 72","경희궁의아침3단지",1,150,"2004-05-17",1,0,1,0,41509433.962264,45847142.466503,
"11110100448192","1111012400100850000","서울특별시 종로구 수송동 85","로얄팰리스스위트",1,94,"2005-04-25",0,2,0,1,30378787.878788,29375000,29166666.666667
"11110120085968","1111011500100090000","서울특별시 종로구 사직동 9","광화문스페이스본(101동~105동)",5,657,"2008-07-11",1,4,0.2,0.8,53149904.584387,47788838.005841,45043103.448276
"11110120085969","1111011500100090001","서울특별시 종로구 사직동 9-1","광화문스페이스본(106동)",1,87,"2008-07-11",0,3,0,1,44772727.272727,43909937.888199,
"11110120090893","1111018700100600000","서울특별시 종로구 무악동 60","인왕산아이파크",17,810,"2008-07-25",0,7,0,1,48226059.654631,47749715.099715,48043956.043956
"11110120096301","1111017500100020001","서울특별시 종로구 숭인동 2-1","종로센트레빌",6,416,"2008-11-21",0,1,0,1,48888888.888889,42699023.199023,
"11110120113622","1111017500107660000","서울특별시 종로구 숭인동 766","종로청계힐스테이트",6,288,"2009-03-20",0,1,0,1,44166666.666667,40693559.218559,39435897.435897
"11110120125020","1111018300100660001","서울특별시 종로구 평창동 66-1","엘리시아",1,19,"2009-12-15",0,1,0,1,19444444.444444,18065343.258892,
"11110120180930","1111017500114210001","서울특별시 종로구 숭인동 1421-1","종로동광모닝스카이",1,80,"2013-06-27",0,1,0,1,22000000,21925000,
"11110120284458","1111016600101950010","서울특별시 종로구 연건동 195-10","이화에수풀",1,120,"2014-01-06",0,1,0,1,38166666.666667,35714285.714286,36333333.333333
"11110120287170","1111017500114210002","서울특별시 종로구 숭인동 1421-2","숭인한양LEEPS",1,68,"2014-03-25",0,1,0,1,25000000,24500000,
"11110120334543","1111018700100880000","서울특별시 종로구 무악동 88","인왕산2차아이파크",5,167,"2015-08-28",0,2,0,1,45817647.058824,46364102.564103,
"11110120348218","1111017900101990000","서울특별시 종로구 홍파동 199","경희궁자이(2단지)",14,1148,"2017-02-24",0,4,0,1,82774725.274725,83181260.303956,80377492.877493
"11110120348219","1111017700102330000","서울특별시 종로구 평동 233","경희궁자이(3단지)",8,589,"2017-02-24",0,7,0,1,89340659.340659,81584659.59328,80345543.345543
"11110120356297","1111018000101260000","서울특별시 종로구 교북동 126","경희궁자이(4단지)",3,182,"2017-06-29",0,1,0,1,82142857.142857,76622294.372294,76785714.285714
"11110120400214","1111018700100890000","서울특별시 종로구 무악동 89","경희궁롯데캐슬",4,195,"2019-06-21",0,2,0,1,71292735.042735,63792735.042735,63034188.034188
"11140100000107","1114013200101200003","서울특별시 중구 충무로4가 120-3","진양상가",1,282,"1970-05-23",0,2,0,1,28257575.757576,28505521.0594,
"11140100000123","1114016200108440000","서울특별시 중구 신당동 844","남산타운",35,3116,"2002-05-25",0,19,0,1,50498573.356468,49277540.526321,47019230.769231
"11140100000127","1114016200108430000","서울특별시 중구 신당동 843","삼성",14,994,"1999-12-22",1,7,0.125,0.875,50229548.229548,45688988.970956,
"11140100000132","1114016200108420000","서울특별시 중구 신당동 842","약수하이츠",16,1598,"1999-07-29",0,20,0,1,51670200.387847,48885196.421226,43581528.765352
"11140100000135","1114016200108400000","서울특별시 중구 신당동 840","현대",10,942,"1993-09-17",0,4,0,1,30255630.630631,36201852.07529,35833333.333333
"11140100000142","1114016200104320970","서울특별시 중구 신당동 432-970","글로리안(B)",1,18,"2002-04-22",0,2,0,1,17222222.222222,19722222.222222,
"11140100000146","1114017100102000000","서울특별시 중구 중림동 200","삼성사이버빌리지",12,712,"2001-07-11",0,3,0,1,61210826.210826,54735415.818749,52835470.08547
"11140100248262","1114016200104321972","서울특별시 중구 신당동 432-1972","신신(1차)",1,12,"2001-04-02",1,0,1,0,13750000,18250000,
"11140100248271","1114016200108490000","서울특별시 중구 신당동 849","삼성홈타운",1,63,"2004-04-19",0,1,0,1,34375000,36042613.636364,37437500
"11140120029570","1114016200103660126","서울특별시 중구 신당동 366-126","남산정은스카이",1,102,"2005-12-20",0,1,0,1,35813953.488372,35508944.543828,
"11140120034402","1114017100103550000","서울특별시 중구 중림동 355","브라운스톤서울",1,110,"2006-03-20",0,2,0,1,48611111.111111,39230769.230769,
"11140120059611","1114016800102150000","서울특별시 중구 순화동 215","바비엥3",1,84,"2006-09-29",0,3,0,1,30277777.777778,28813775.510204,
"11140120064716","1114016200108450000","서울특별시 중구 신당동 845","한진해모로",3,254,"2001-06-18",0,2,0,1,36634615.384615,38812576.312576,35384615.384615
"11140120066676","1114016800101510000","서울특별시 중구 순화동 151","순화동더샵",2,137,"2007-05-25",0,2,0,1,47307692.307692,31578947.368421,
"11140120092128","1114016500125450000","서울특별시 중구 황학동 2545","롯데캐슬",6,1870,"2008-12-22",0,3,0,1,47407407.407407,40617616.314034,39653846.153846
"11140120125021","1114013200103060000","서울특별시 중구 충무로4가 306","남산센트럴자이",1,273,"2009-12-21",0,1,0,1,47600000,48034769.463341,50831443.688587
"11140120125432","1114012100102060000","서울특별시 중구 회현동1가 206","SK리더스뷰남산",2,233,"2010-01-11",0,1,0,1,46774193.548387,41303937.997486,40000000
"11140120126759","1114016500125230000","서울특별시 중구 황학동 2523","황학아크로타워",3,263,"2010-03-31",1,0,1,0,26666666.666667,40190542.917448,42115384.615385
"11140120131232","1114012200100870000","서울특별시 중구 회현동2가 87","쌍용남산플래티넘",2,236,"2010-08-05",0,1,0,1,54629629.62963,43942309.145881,
"11140120147235","1114016200108510000","서울특별시 중구 신당동 851","래미안하이베르",15,784,"2011-10-28",0,3,0,1,55823361.823362,53526751.026751,51143162.393162
"11140120147349","1114012100102080000","서울특별시 중구 회현동1가 208","남산롯데캐슬아이리스",2,386,"2011-11-18",0,3,0,1,54963107.838626,50693977.362059,33333333.333333
"11140120148994","1114016200108520000","서울특별시 중구 신당동 852","청구e편한세상",13,737,"2011-12-13",0,5,0,1,68243589.74359,56460246.471874,
"11140120150063","1114017300102310000","서울특별시 중구 만리동1가 231","LIG서울역리가",4,181,"2012-01-31",0,2,0,1,55384615.384615,51439560.43956,52884615.384615
"11140120183535","1114016500107870000","서울특별시 중구 황학동 787","한양I-Class",1,100,"2013-09-13",0,1,0,1,26900000,26171428.571429,25000000
"11140120301318","1114016300101190000","서울특별시 중구 흥인동 119","동대문와이즈캐슬",1,150,"2014-10-23",0,1,0,1,30000000,29231168.831169,
"11140120306255","1114016300100130001","서울특별시 중구 흥인동 13-1","청계천두산위브더제니스",1,295,"2014-12-22",0,1,0,1,39555555.555556,38049015.322075,
"11140120337393","1114013300100360002","서울특별시 중구 충무로5가 36-2","충무로엘크루메크로시티2차",1,171,"2016-06-10",0,1,0,1,30454545.454545,30618181.818182,
"11140120345549","1114016800102170000","서울특별시 중구 순화동 217","덕수궁롯데캐슬",2,296,"2016-08-31",0,1,0,1,55588235.294118,57379954.870837,
"11140120359587","1114017400102730000","서울특별시 중구 만리동2가 273","서울역센트럴자이",14,1341,"2017-08-07",0,12,0,1,82290047.915048,69867492.589715,66252913.752914
"11140120365905","1114017400102880000","서울특별시 중구 만리동2가 288","서울역한라비발디센트럴",4,199,"2018-09-05",2,3,0.4,0.6,62853146.853147,55833333.333333,
"11140120375224","1114016500112000000","서울특별시 중구 황학동 1200","위너빌(Winnervill)",1,42,"2018-09-20",0,1,0,1,41111111.111111,40444444.444444,41111111.111111
"11140120391122","1114016200108560000","서울특별시 중구 신당동 856","신당KCC스위첸",3,176,"2019-06-05",0,4,0,1,61825396.825397,54265900.765901,48636363.636364
"11140120415255","1114016700100370000","서울특별시 중구 정동 37","삼정아트테라스정동",1,168,"2020-12-21",0,3,0,1,58228174.603175,61211405.261405,62300000
"11140120443183","1114015600102800000","서울특별시 중구 입정동 280","힐스테이트세운센트럴2단지",1,608,"2023-03-07",0,2,0,1,67583333.333333,63609088.827839,56202380.952381
"11140120443310","1114013400102400000","서울특별시 중구 인현동2가 240","세운푸르지오헤리시티",1,614,"2023-01-16",0,1,0,1,51111111.111111,51578231.292517,
"11140120449710","1114013600100350000","서울특별시 중구 묵정동 35","힐스테이트남산",2,282,"2024-01-29",0,2,0,1,60523809.52381,,
"11170100000809","1117010100100010020","서울특별시 용산구 후암동 1-20","후암맨션",1,20,"1974-07-09",0,1,0,1,35454545.454545,,
"11170100000810","1117010100104230001","서울특별시 용산구 후암동 423-1","후암미주",5,226,"1980-07-22",0,1,0,1,45789473.684211,46885964.912281,
"11170100000820","1117011800101180016","서울특별시 용산구 원효로4가 118-16","산호",6,554,"1977-04-04",0,1,0,1,71250000,73711538.461538,
"11170100000833","1117012000100230000","서울특별시 용산구 도원동 23","삼성래미안",15,1458,"2001-08-03",0,5,0,1,57154945.054945,56053372.352285,59933333.333333
"11170100000841","1117012900104020000","서울특별시 용산구 이촌동 402","강촌",9,1001,"1998-01-08",0,2,0,1,103472222.222222,79220048.244438,66264148.351648
"11170100000847","1117012900104110000","서울특별시 용산구 이촌동 411","동아그린",6,499,"1999-05-31",0,1,0,1,90769230.769231,63757513.096223,52538461.538462
"11170100000849","1117012900103010010","서울특별시 용산구 이촌동 301-10","로얄맨숀",1,72,"1972-09-19",0,1,0,1,41755555.555556,33928571.428571,33928571.428571
"11170100000853","1117012900104220000","서울특별시 용산구 이촌동 422","북한강(성원)",2,340,"2001-08-07",0,2,0,1,94444444.444444,92111111.111111,94444444.444444
"11170100000855","1117012900103000301","서울특별시 용산구 이촌동 300-301","삼익",2,252,"1979-12-17",0,1,0,1,60227272.727273,63079229.79798,
"11170100000860","1117012900103990001","서울특별시 용산구 이촌동 399-1","우성",2,243,"1995-12-23",0,5,0,1,78584126.984127,75801926.468593,75648148.148148
"11170100000861","1117012900104120000","서울특별시 용산구 이촌동 412","이촌코오롱(A)",9,787,"1999-11-01",0,5,0,1,84634676.434676,80183150.18315,77345085.470085
"11170100000872","1117012900104040000","서울특별시 용산구 이촌동 404","한가람",19,2036,"1998-09-18",0,8,0,1,106997023.809524,85571972.148522,87275502.275502
"11170100000873","1117012900104150000","서울특별시 용산구 이촌동 415","한강(대우)",10,834,"2000-03-31",0,1,0,1,88461538.461538,80779911.924119,70183708.567855
"11170100000874","1117012900103000023","서울특별시 용산구 이촌동 300-23","한강맨숀",23,660,"1971-03-22",0,3,0,1,154832258.064516,122518646.35681,114856756.756757
"11170100000875","1117012900103010160","서울특별시 용산구 이촌동 301-160","현대맨숀",8,653,"1974-12-09",0,5,0,1,83550897.844403,66848262.290288,52045454.545455
"11170100000878","1117013000107290000","서울특별시 용산구 이태원동 729","남산대림",16,400,"1994-12-31",0,2,0,1,75534188.034188,66133903.133903,
"11170100000883","1117013000100220002","서울특별시 용산구 이태원동 22-2","청화1",9,578,"1982-09-18",0,2,0,1,84778343.023256,65106883.753826,69687500
"11170100000920","1117013100100290004","서울특별시 용산구 한남동 29-4","한성1",2,125,"1974-08-08",0,1,0,1,29767441.860465,,
"11170100000926","1117013100108050000","서울특별시 용산구 한남동 805","현대하이페리온",2,122,"2002-12-27",0,1,0,1,76612903.225806,73746376.811594,
"11170100000937","1117013300102410021","서울특별시 용산구 서빙고동 241-21","신동아",15,1326,"1984-06-28",0,2,0,1,74188112.745098,80936582.943993,86206896.551724
"11170100000945","1117011500101930000","서울특별시 용산구 산천동 193","리버힐삼성",14,1102,"2001-01-10",0,3,0,1,57751322.751323,53589649.666573,48896825.396825
"11170100000946","1117011500102040000","서울특별시 용산구 산천동 204","한강타운",3,289,"2001-02-22",0,4,0,1,48958333.333333,46685763.888889,45009259.259259
"11170100050200","1117012900103020048","서울특별시 용산구 이촌동 302-48","미주B",1,50,"1976-08-09",0,1,0,1,39666666.666667,32222222.222222,
"11170100051311","1117013100108070000","서울특별시 용산구 한남동 807","한남힐스테이트",6,283,"2003-10-02",0,1,0,1,58589743.589744,66574693.42252,65000000
"11170100052913","1117012900104300000","서울특별시 용산구 이촌동 430","LG한강자이",10,656,"2003-04-28",0,1,0,1,95121951.219512,85560011.832223,94879032.258065
"11170100248294","1117012800100650230","서울특별시 용산구 한강로3가 65-230","한강대우트럼프월드3",1,123,"2004-04-28",0,3,0,1,72878787.878788,,
"11170100256672","1117012200100400019","서울특별시 용산구 문배동 40-19","삼라마이다스빌2",1,95,"2004-06-14",0,1,0,1,38000000,34090909.090909,
"11170100448222","1117011400101020000","서울특별시 용산구 신창동 102","세방리버하이빌",3,176,"2005-04-11",0,1,0,1,39615384.615385,42307692.307692,
"11170100618606","1117012500100020008","서울특별시 용산구 한강로2가 2-8","벽산메가트리움",2,248,"2005-05-06",0,1,0,1,55263157.894737,58942307.692308,63461538.461538
